INFO  - 2014-09-29 16:47:23.784; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-09-29 16:47:23.786; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-09-29 16:47:23.787; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-09-29 16:47:23.797; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-29 16:47:23.798; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-29 16:47:23.799; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-29 16:47:23.799; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-29 16:47:23.800; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-29 16:47:23.809; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 10000ms; 
INFO  - 2014-09-29 16:47:23.810; org.apache.solr.update.CommitTracker; Soft AutoCommit: if uncommited for 1000ms; 
INFO  - 2014-09-29 16:47:23.846; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index lockFactory=NativeFSLockFactory@E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-29 16:47:23.847; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-29 16:47:23.852; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@673ae442[lansearch] main
INFO  - 2014-09-29 16:47:23.857; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\conf
INFO  - 2014-09-29 16:47:23.857; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\conf}
INFO  - 2014-09-29 16:47:23.863; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\conf
WARN  - 2014-09-29 16:47:23.864; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
INFO  - 2014-09-29 16:47:23.866; org.apache.solr.rest.ManagedResourceStorage$JsonStorage; Saved JSON object to path _rest_managed.json using file:dir=E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\conf
INFO  - 2014-09-29 16:47:23.867; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2014-09-29 16:47:32.944; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@673ae442[lansearch] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-29 16:47:32.944; org.apache.solr.core.CoreContainer; registering core: lansearch
INFO  - 2014-09-29 16:47:32.946; org.apache.solr.servlet.SolrDispatchFilter; user.dir=E:\Code\github\LANSearch_Servers\Solr
INFO  - 2014-09-29 16:47:32.946; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-09-29 16:47:32.965; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@127.0.0.1:18983
INFO  - 2014-09-29 16:47:33.021; org.apache.solr.core.SolrCore; [lansearch] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=76 
INFO  - 2014-09-29 16:47:33.022; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-09-29 16:47:33.022; org.apache.solr.core.SolrCore; [lansearch] Registered new searcher Searcher@673ae442[lansearch] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-29 16:47:39.380; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1412002059205} status=0 QTime=2 
INFO  - 2014-09-29 16:47:39.555; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={wt=json&_=1412002059493} status=0 QTime=2 
INFO  - 2014-09-29 16:47:54.964; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@127.0.0.1:18983
INFO  - 2014-09-29 16:47:54.965; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/E:/Code/github/LANSearch_Servers/Solr/solr-webapp/webapp/},E:\Code\github\LANSearch_Servers\Solr/webapps/solr.war
INFO  - 2014-09-29 16:47:55.967; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1606286799
INFO  - 2014-09-29 16:47:55.967; org.apache.solr.core.SolrCore; [lansearch]  CLOSING SolrCore org.apache.solr.core.SolrCore@26184c75
INFO  - 2014-09-29 16:47:55.968; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=10000ms,autocommits=0,soft autocommit maxTime=1000ms,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
INFO  - 2014-09-29 16:47:55.968; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2014-09-29 16:47:55.968; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2014-09-29 16:47:55.969; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2014-09-29 16:47:55.970; org.apache.solr.core.SolrCore; [lansearch] Closing main searcher on request.
INFO  - 2014-09-29 16:47:55.971; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2014-09-29 16:47:55.972; org.apache.solr.core.CachingDirectoryFactory; looking to close E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data [CachedDir<<refCount=0;path=E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data;done=false>>]
INFO  - 2014-09-29 16:47:55.972; org.apache.solr.core.CachingDirectoryFactory; Closing directory: E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data
INFO  - 2014-09-29 16:47:55.972; org.apache.solr.core.CachingDirectoryFactory; looking to close E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index [CachedDir<<refCount=0;path=E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index;done=false>>]
INFO  - 2014-09-29 16:47:55.973; org.apache.solr.core.CachingDirectoryFactory; Closing directory: E:\Code\github\LANSearch_Servers\Solr\solr\lansearch\data\index
INFO  - 2014-09-29 16:47:55.974; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/E:/Code/github/LANSearch_Servers/Solr/solr-webapp/webapp/},E:\Code\github\LANSearch_Servers\Solr/webapps/solr.war
